04.27.14.32,L-RPM,R-RPM,L1-AMP,L2-AMP,L3-AMP,L4-AMP,L1-V,L2-V,L3-V,L4-V,R1-AMP,R2-AMP,R3-AMP,R4-AMP,R1-V,R2-V,R3-V,R4-V,Elev_1-AMP,Elev_2-AMP,Elev_1-V,Elev_2-V,Intake_L-AMP,Intake_R-AMP,Climber_1-AMP,Climber_2-AMP,BATTERY
00000.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.623895996093749
00000.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.617613525390624
000000.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.623895996093749
00000.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.623895996093749
000000.4,0.0,0.0,0.0,0.0,0.0,0.0,2.1187683284457477,0.6979472140762464,0.8069403714565005,0.8991202346041056,0.0,0.0,0.0,0.0,-2.1429130009775172,-0.9098240469208212,-0.8955522971652006,-1.0055718475073314,0.0,0.0,-0.643010752688172,0.0,0.0,0.0,0.0,0.0,12.096168457031249
00000.45,0.0,0.0,3.5,1.25,1.5,1.5,3.5645161290322576,3.5645161290322576,3.550537634408602,3.5225806451612898,2.125,0.125,0.25,0.5,-3.1591397849462366,-3.5645161290322576,-3.508602150537634,-3.550537634408602,0.125,0.0,-1.632258064516129,-1.0634408602150538,0.0,0.0,0.0,0.0,12.02077880859375
000000.5,0.001953125,0.00341796875,4.5,4.25,3.625,4.125,3.5645161290322576,3.5645161290322576,3.550537634408602,3.5225806451612898,4.875,5.25,5.25,5.125,-3.1591397849462366,-3.5645161290322576,-3.508602150537634,-3.550537634408602,2.125,0.25,-3.1161290322580646,-2.5473118279569893,0.0,0.0,0.0,0.0,11.53074609375
00000.55,0.02685546875,0.046875,6.25,6.625,5.75,6.5,3.256989247311828,3.2709677419354835,3.201075268817204,3.21505376344086,4.625,4.75,5.0,4.875,-2.7817204301075265,-3.2709677419354835,-3.21505376344086,-3.229032258064516,4.375,2.125,-3.974193548387097,-3.4548387096774196,0.0,0.0,0.0,0.0,11.373684326171874
000000.6,0.087646484375,0.094482421875,5.75,6.0,5.125,5.875,2.33455522971652,3.2709677419354835,3.201075268817204,3.21505376344086,4.0,4.5,4.875,4.625,-1.4394916911045943,-2.058651026392962,-2.0234604105571847,-1.9419354838709677,7.125,5.25,-4.109677419354839,-4.335483870967742,0.0,0.0,0.0,0.0,12.02077880859375
00000.65,0.107177734375,0.119140625,2.5,3.875,2.875,3.375,-1.3551808406647117,-0.5489736070381231,-0.5372434017595308,0.0,1.375,1.25,2.625,2.375,2.4996578690127076,1.6469208211143693,1.6187683284457477,1.7161290322580647,7.75,6.25,-3.4322580645161294,-3.6806451612903226,0.0,0.0,0.0,0.0,11.763197509765625
000000.7,0.117919921875,0.11328125,5.25,2.25,2.625,2.5,-3.256989247311828,-3.2709677419354835,-3.201075268817204,-3.21505376344086,4.625,2.875,2.625,2.625,2.7817204301075265,3.2709677419354835,3.21505376344086,3.229032258064516,3.5,4.25,-2.07741935483871,-2.1713587487781036,0.0,0.0,0.0,0.0,11.222905029296875
00000.75,0.086669921875,0.069580078125,6.25,6.25,5.375,6.0,-3.21505376344086,-3.21505376344086,-3.1731182795698927,-3.1591397849462366,7.0,7.0,8.0,7.25,2.753763440860215,3.21505376344086,3.1731182795698927,3.1870967741935483,0.5,0.5,-0.48602150537634414,-0.8730205278592374,0.0,0.0,0.0,0.0,11.248034912109375
000000.8,0.0,0.00341796875,6.5,6.25,5.5,6.125,-3.21505376344086,-3.21505376344086,-3.1731182795698927,-3.1591397849462366,6.125,6.25,7.125,6.5,2.753763440860215,3.21505376344086,3.1731182795698927,3.1870967741935483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.304577148437499
00000.85,-0.0888671875,-0.06689453125,7.0,7.375,6.5,7.125,-2.2145650048875853,-2.5855327468230693,-2.5518084066471167,-2.352785923753666,5.375,5.75,6.625,6.25,1.588709677419355,2.7653958944281527,1.919403714565005,1.8387096774193548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.240665283203125
000000.9,-0.083740234375,-0.0771484375,2.125,1.5,1.25,1.25,1.3093841642228738,0.5832844574780058,0.5782991202346042,0.580791788856305,0.625,1.875,2.125,2.0,-1.0783968719452592,-0.9303519061583577,-0.9263929618768327,-0.9263929618768327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2343828125
00000.95,-0.07421875,-0.079345703125,0.625,0.25,0.25,0.125,1.68841642228739,1.4639296187683284,1.4514173998044968,1.4576735092864126,1.375,0.75,0.75,0.875,-2.464907135874878,-2.5383675464320627,-2.9278592375366568,-2.527565982404692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.844869628906249
000001.0,-0.066650390625,-0.067626953125,2.375,3.25,2.875,1.875,2.1937927663734116,2.1844574780058648,2.1657869012707724,2.175122189638319,5.125,5.875,6.25,6.375,-2.850048875855328,-3.39980449657869,-3.3853372434017595,-3.3853372434017595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4553564453125
00001.05,-0.04296875,-0.02880859375,4.625,4.875,4.375,4.875,2.506451612903226,2.924193548387097,2.809335288367546,2.98841642228739,6.375,6.5,6.875,6.875,-2.9859726295210165,-3.424437927663735,-3.365395894428153,-3.409677419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2040576171875
000001.1,0.021484375,0.03564453125,7.375,6.125,5.375,6.25,3.4661290322580647,3.6806451612903226,3.5592375366568914,3.615200391006842,7.375,7.875,8.125,8.0,-3.9780547409579663,-3.7305962854349954,-3.565982404692082,-3.612903225806452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1035380859375
00001.15,0.0556640625,0.099609375,9.5,7.875,7.125,7.75,5.024193548387097,4.019354838709678,3.98455522971652,4.074095796676442,9.625,7.625,7.75,7.875,-2.937341153470186,-4.887194525904204,-4.802932551319649,-4.764516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9024990234375
000001.2,0.072509765625,0.1103515625,10.375,11.125,10.0,11.0,5.408064516129032,5.020527859237537,4.950146627565983,5.020527859237537,11.875,6.125,6.125,6.125,-4.892326490713587,-4.4757575757575765,-4.39325513196481,-4.497556207233626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.575810546875
