04.26.11.04,L-RPM,R-RPM,L1-AMP,L2-AMP,L3-AMP,L4-AMP,L1-V,L2-V,L3-V,L4-V,R1-AMP,R2-AMP,R3-AMP,R4-AMP,R1-V,R2-V,R3-V,R4-V,Elev_1-AMP,Elev_2-AMP,Elev_1-V,Elev_2-V,Intake_L-AMP,Intake_R-AMP,Climber_1-AMP,Climber_2-AMP,BATTERY
000015.3,-0.46337890625,-0.421142578125,19.5,18.25,15.5,15.75,-7.47531769305963,-7.47531769305963,-7.351417399804498,-7.310117302052787,18.25,17.375,14.875,14.25,6.23631476050831,7.434017595307918,7.227517106549365,7.351417399804498,0.0,0.0,0.0,0.0,18.375,19.875,0.0,0.0,9.25649169921875
00015.35,-0.5166015625,-0.49365234375,17.375,16.125,13.875,13.875,-7.723118279569894,-7.516617790811341,-7.516617790811341,-7.434017595307918,15.875,15.625,13.375,13.0,6.23631476050831,7.516617790811341,7.351417399804498,7.5579178885630505,0.0,0.0,0.0,0.0,24.125,20.5,0.0,0.0,9.78421923828125
000015.4,-0.555908203125,-0.510986328125,12.125,11.5,10.0,9.25,-7.723118279569894,-7.516617790811341,-7.516617790811341,-7.434017595307918,15.5,14.5,13.625,13.0,6.125610948191594,7.3831867057673515,7.220918866080156,7.42375366568915,0.0,0.0,0.0,0.0,24.125,20.5,0.0,0.0,10.066930419921874
00015.45,-0.61865234375,-0.554443359375,9.625,9.625,8.375,8.25,-7.037634408602152,-6.876148582600196,-6.849462365591399,-6.774193548387097,14.375,12.5,11.875,11.25,6.435483870967743,6.849462365591399,6.698924731182796,6.887096774193549,0.0,0.0,0.0,0.0,22.375,23.125,0.0,0.0,10.293099365234374
000015.5,-0.6806640625,-0.595458984375,12.25,11.375,10.0,10.0,-5.812903225806452,-7.167155425219942,-7.132697947214078,-7.098240469208212,7.75,8.375,7.875,7.375,5.248680351906159,6.711290322580645,6.470967741935484,6.566129032258066,0.0,0.0,0.0,0.0,19.625,21.375,0.0,0.0,11.053278320312499
00015.55,-0.733154296875,-0.616943359375,2.375,1.375,1.375,0.625,-5.454789833822092,-5.133919843597263,-5.1092375366568925,-5.08455522971652,2.375,5.125,4.25,4.0,4.254105571847508,5.1177419354838705,4.995307917888563,5.068768328445748,0.0,0.0,0.0,0.0,21.625,23.375,0.0,0.0,11.1537978515625
000015.6,-0.71484375,-0.61474609375,0.375,0.25,0.0,0.0,-5.584408602150538,-5.255913978494624,-5.230645161290323,-5.205376344086022,1.5,1.375,1.5,1.25,5.50909090909091,5.362903225806451,5.234604105571847,5.311583577712611,0.0,0.0,0.0,0.0,21.625,23.375,0.0,0.0,10.6009404296875
00015.65,-0.65283203125,-0.545654296875,11.125,4.0,4.875,4.25,-8.479227761485827,-7.980449657869013,-7.942082111436951,-7.903714565004888,5.5,3.5,3.375,3.125,5.318181818181819,5.975806451612903,5.890029325513197,5.947214076246335,0.0,0.0,0.0,0.0,21.5,25.25,0.0,0.0,10.569528076171874
000015.7,-0.55615234375,-0.533203125,15.125,13.0,11.375,11.125,-6.1005865102639305,-7.082111436950147,-6.876735092864125,-6.843352883675464,0.0,0.875,0.5,0.625,0.9,1.5935483870967742,1.5706744868035192,1.5859237536656892,0.0,0.0,0.0,0.0,19.875,21.75,0.0,0.0,11.436509033203125
00015.75,-0.572998046875,-0.55224609375,4.25,7.5,6.5,6.0,-5.996480938416422,-5.827565982404693,-5.79941348973607,-5.771260997067448,0.0,0.0,0.0,1.25,-2.18841642228739,-1.7161290322580642,-1.6914956011730207,-1.70791788856305,0.0,0.0,0.0,0.0,19.875,21.75,0.0,0.0,10.657482666015625
000015.8,-0.611328125,-0.49951171875,0.625,0.125,0.0,0.0,-5.996480938416422,-5.827565982404693,-5.79941348973607,-5.771260997067448,17.75,9.75,9.75,9.125,-5.5926197458455515,-5.853225806451612,-5.769208211143694,-5.825219941348974,0.0,0.0,0.0,0.0,24.0,22.75,0.0,0.0,10.129755126953125
00015.85,-0.607177734375,-0.313232421875,1.375,1.25,1.0,0.625,-5.686803519061584,-5.6586510263929615,-5.602346041055718,-5.602346041055718,20.5,20.5,20.375,18.875,-5.5926197458455515,-5.480205278592375,-5.2834799608993155,-5.423998044965787,0.0,0.0,0.0,0.0,22.125,22.625,0.0,0.0,9.5454853515625
000015.9,-0.5703125,0.063232421875,4.125,2.75,2.625,2.25,-5.686803519061584,-5.6586510263929615,-5.602346041055718,-5.602346041055718,20.0,23.0,22.5,21.0,-4.693304007820137,-5.480205278592375,-5.2834799608993155,-5.423998044965787,0.0,0.0,0.0,0.0,19.625,21.25,0.0,0.0,10.896216552734375
00015.95,-0.526611328125,0.1943359375,5.0,4.375,3.75,3.375,-5.686803519061584,-5.6586510263929615,-5.602346041055718,-5.602346041055718,15.75,16.625,16.0,15.0,-4.701466275659825,-5.489736070381231,-5.292668621700879,-5.4334310850439875,0.0,0.0,0.0,0.0,7.5,7.125,0.0,0.0,11.16636279296875
000016.0,-0.526123046875,0.26904296875,3.625,3.75,3.5,3.125,-5.047116324535679,-5.8544477028348,-5.801466275659823,-5.774975562072336,13.875,14.0,13.875,12.25,-4.9055229716520055,-6.363636363636365,-6.2463343108504406,-6.392961876832845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.727677001953124
00016.05,-0.53173828125,0.30859375,0.625,0.25,0.75,0.5,-0.6130987292277614,-1.6526392961876835,-1.4664222873900292,-1.4597262952101662,17.875,18.25,17.375,16.5,-5.96661779081134,-7.148484848484849,-7.016715542521994,-7.266666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.249122070312499
000016.1,-0.517333984375,0.315673828125,1.75,0.625,0.875,0.75,2.9341153470185724,2.451955034213099,1.7340175953079178,1.8113391984359726,24.0,17.75,17.125,17.125,-8.600000000000001,-10.850000000000001,-10.65,-10.9,0.0,0.0,0.0,0.0,28.375,28.0,0.0,0.0,9.45753076171875
00016.15,-0.42626953125,0.4013671875,27.25,10.5,11.0,11.375,7.36813294232649,4.9821603128054734,5.099120234604105,5.086754643206256,22.0,19.25,15.75,14.375,-8.179667644183775,-8.758064516129034,-8.516129032258066,-8.661290322580644,0.0,0.0,0.0,0.0,20.0,19.75,0.0,0.0,8.35181591796875
