Time,leftPos,leftSpeed,rightPos,rightSpeed
20,0,0,0,0
00002.46,696276.0,1818.0,-705553.0,-1871.0,
00002.48,696578.0,1824.0,-705921.0,-1857.0,
000002.5,696957.0,1826.0,-706288.0,-1845.0,
00002.52,697334.0,1827.0,-706673.0,-1839.0,
00002.54,697705.0,1826.0,-707073.0,-1840.0,
00002.56,698085.0,1823.0,-707454.0,-1851.0,
00002.58,698385.0,1818.0,-707821.0,-1869.0,
000002.6,698763.0,1813.0,-708173.0,-1887.0,
00002.62,699141.0,1809.0,-708531.0,-1894.0,
00002.64,699520.0,1808.0,-708892.0,-1886.0,
00002.66,699895.0,1808.0,-709258.0,-1864.0,
00002.68,700278.0,1810.0,-709609.0,-1837.0,
000002.7,700585.0,1811.0,-709962.0,-1813.0,
00002.72,700972.0,1815.0,-710318.0,-1797.0,
00002.74,701358.0,1821.0,-710698.0,-1789.0,
00002.76,701747.0,1828.0,-711101.0,-1791.0,
00002.78,702137.0,1838.0,-711492.0,-1804.0,
000002.8,702530.0,1847.0,-711861.0,-1831.0,
00002.82,702847.0,1856.0,-712244.0,-1861.0,
00002.84,703241.0,1864.0,-712614.0,-1891.0,
00002.86,703638.0,1872.0,-712994.0,-1907.0,
00002.88,704035.0,1880.0,-713381.0,-1912.0,
000002.9,704438.0,1888.0,-713759.0,-1904.0,
00002.92,704758.0,1895.0,-714142.0,-1897.0,
00002.94,705163.0,1902.0,-714540.0,-1894.0,
00002.96,705569.0,1910.0,-714951.0,-1903.0,
00002.98,705975.0,1918.0,-715385.0,-1918.0,
000003.0,706389.0,1927.0,-715797.0,-1947.0,
00003.02,706808.0,1937.0,-716197.0,-1985.0,
00003.04,707147.0,1950.0,-716597.0,-2020.0,
00003.06,707577.0,1964.0,-717004.0,-2044.0,
00003.08,707999.0,1982.0,-717416.0,-2053.0,
000003.1,708440.0,2001.0,-717827.0,-2049.0,
00003.12,708887.0,2021.0,-718248.0,-2041.0,
00003.14,709250.0,2043.0,-718705.0,-2037.0,
00003.16,709816.0,2071.0,-719191.0,-2052.0,
00003.18,710199.0,2102.0,-719673.0,-2094.0,
000003.2,710688.0,2141.0,-720139.0,-2157.0,
00003.22,711180.0,2186.0,-720615.0,-2224.0,
00003.24,711681.0,2231.0,-721086.0,-2288.0,
00003.26,712073.0,2276.0,-721570.0,-2335.0,
00003.28,712576.0,2313.0,-722040.0,-2366.0,
000003.3,713086.0,2345.0,-722517.0,-2375.0,
00003.32,713597.0,2371.0,-723027.0,-2375.0,
00003.34,714108.0,2392.0,-723554.0,-2381.0,
00003.36,714524.0,2409.0,-724073.0,-2406.0,
00003.38,715040.0,2427.0,-724549.0,-2445.0,
000003.4,715558.0,2442.0,-725040.0,-2480.0,
00003.42,716074.0,2456.0,-725533.0,-2504.0,
00003.44,716596.0,2468.0,-726015.0,-2510.0,
00003.46,717115.0,2477.0,-726499.0,-2499.0,
00003.48,717635.0,2483.0,-727007.0,-2474.0,
000003.5,718053.0,2488.0,-727544.0,-2452.0,
00003.52,718579.0,2491.0,-728067.0,-2454.0,
00003.54,719110.0,2495.0,-728568.0,-2481.0,
00003.56,719644.0,2501.0,-729063.0,-2516.0,
00003.58,720069.0,2511.0,-729572.0,-2540.0,
000003.6,720716.0,2524.0,-730076.0,-2555.0,
00003.62,721147.0,2537.0,-730573.0,-2554.0,
00003.64,721689.0,2550.0,-731101.0,-2540.0,
00003.66,722230.0,2562.0,-731660.0,-2525.0,
00003.68,722781.0,2575.0,-732196.0,-2533.0,
000003.7,723222.0,2586.0,-732710.0,-2567.0,
00003.72,723770.0,2599.0,-733229.0,-2605.0,
00003.74,724318.0,2611.0,-733746.0,-2632.0,
00003.76,724872.0,2621.0,-734258.0,-2643.0,
00003.78,725419.0,2629.0,-734769.0,-2638.0,
000003.8,725964.0,2635.0,-735308.0,-2617.0,
00003.82,726399.0,2637.0,-735874.0,-2596.0,
00003.84,726942.0,2634.0,-736412.0,-2597.0,
00003.86,727488.0,2629.0,-736925.0,-2623.0,
00003.88,728036.0,2624.0,-737448.0,-2649.0,
000003.9,728571.0,2619.0,-737972.0,-2665.0,
00003.92,729004.0,2614.0,-738478.0,-2668.0,
00003.94,729544.0,2610.0,-738990.0,-2654.0,
00003.96,730087.0,2606.0,-739532.0,-2628.0,
00003.98,730628.0,2603.0,-740095.0,-2605.0,
000004.0,731172.0,2599.0,-740618.0,-2605.0,
00004.02,731715.0,2598.0,-741125.0,-2623.0,
00004.04,732155.0,2599.0,-741643.0,-2641.0,
00004.06,732697.0,2603.0,-742157.0,-2647.0,
00004.08,733243.0,2607.0,-742658.0,-2643.0,
000004.1,733789.0,2611.0,-743172.0,-2622.0,
00004.12,734335.0,2614.0,-743718.0,-2594.0,
00004.14,734772.0,2617.0,-744262.0,-2573.0,
00004.16,735319.0,2619.0,-744785.0,-2580.0,
00004.18,735864.0,2621.0,-745295.0,-2602.0,
000004.2,736415.0,2622.0,-745813.0,-2623.0,
00004.22,736964.0,2624.0,-746333.0,-2633.0,
00004.24,737510.0,2625.0,-746838.0,-2634.0,
00004.26,737952.0,2627.0,-747370.0,-2619.0,
00004.28,738500.0,2628.0,-747934.0,-2600.0,
000004.3,739054.0,2631.0,-748487.0,-2595.0,
00004.32,739608.0,2634.0,-749020.0,-2617.0,
00004.34,740162.0,2638.0,-749548.0,-2651.0,
00004.36,740714.0,2643.0,-750081.0,-2681.0,
00004.38,741165.0,2648.0,-750603.0,-2697.0,
000004.4,741716.0,2653.0,-751132.0,-2699.0,
00004.42,742277.0,2658.0,-751682.0,-2683.0,
00004.44,742834.0,2663.0,-752263.0,-2666.0,
00004.46,743401.0,2667.0,-752821.0,-2665.0,
00004.48,743859.0,2673.0,-753351.0,-2691.0,
000004.5,744431.0,2681.0,-753897.0,-2720.0,
00004.52,745004.0,2694.0,-754444.0,-2744.0,
00004.54,745595.0,2709.0,-754986.0,-2754.0,
00004.56,746196.0,2730.0,-755572.0,-2753.0,
00004.58,746679.0,2755.0,-756209.0,-2748.0,
000004.6,747418.0,2786.0,-756803.0,-2765.0,
00004.62,747912.0,2816.0,-757391.0,-2811.0,
00004.64,748543.0,2853.0,-757992.0,-2874.0,
00004.66,749164.0,2893.0,-758585.0,-2932.0,
00004.68,749789.0,2928.0,-759170.0,-2972.0,
000004.7,750290.0,2957.0,-759779.0,-2990.0,
00004.72,750917.0,2979.0,-760433.0,-2990.0,
00004.74,751546.0,2994.0,-761051.0,-2990.0,
00004.76,752174.0,3002.0,-761643.0,-3010.0,
00004.78,752797.0,3007.0,-762241.0,-3038.0,
000004.8,753425.0,3009.0,-762834.0,-3058.0,
00004.82,753925.0,3009.0,-763418.0,-3061.0,
00004.84,754551.0,3008.0,-764037.0,-3048.0,
00004.86,755176.0,3007.0,-764675.0,-3023.0,
00004.88,755811.0,3005.0,-765297.0,-3007.0,
000004.9,756454.0,3006.0,-765899.0,-3014.0,
00004.92,756995.0,3013.0,-766569.0,-3037.0,
00004.94,757867.0,3037.0,-767259.0,-3072.0,
00004.96,758456.0,3081.0,-768020.0,-3121.0,
00004.98,759196.0,3154.0,-768762.0,-3193.0,
000005.0,759952.0,3249.0,-769510.0,-3301.0,
00005.02,760737.0,3352.0,-770242.0,-3413.0,
00005.04,761358.0,3454.0,-770977.0,-3536.0,
00005.06,762159.0,3546.0,-771733.0,-3628.0,
00005.08,762965.0,3627.0,-772578.0,-3686.0,
000005.1,763775.0,3689.0,-773371.0,-3725.0,
00005.12,764598.0,3747.0,-774145.0,-3778.0,
00005.14,765243.0,3801.0,-774928.0,-3832.0,
00005.16,766064.0,3845.0,-775691.0,-3887.0,
00005.18,766886.0,3878.0,-776519.0,-3923.0,
000005.2,767713.0,3900.0,-777348.0,-3945.0,
00005.22,768542.0,3917.0,-778138.0,-3957.0,
00005.24,769370.0,3931.0,-778922.0,-3966.0,
00005.26,770038.0,3943.0,-779695.0,-3979.0,
00005.28,770872.0,3955.0,-780521.0,-3992.0,
000005.3,771706.0,3969.0,-781363.0,-3997.0,
00005.32,772545.0,3981.0,-782156.0,-4003.0,
00005.34,773380.0,3990.0,-782954.0,-4009.0,
00005.36,774220.0,3999.0,-783735.0,-4017.0,
00005.38,775056.0,4006.0,-784572.0,-4026.0,
000005.4,775730.0,4012.0,-785422.0,-4037.0,
00005.42,776568.0,4016.0,-786060.0,-4046.0,
00005.44,777402.0,4019.0,-787022.0,-4054.0,
00005.46,778239.0,4021.0,-787813.0,-4060.0,
00005.48,778910.0,4022.0,-788634.0,-4065.0,
000005.5,779745.0,4021.0,-789486.0,-4068.0,
00005.52,780593.0,4021.0,-790271.0,-4066.0,
00005.54,781429.0,4022.0,-791073.0,-4062.0,
00005.56,782273.0,4023.0,-791857.0,-4056.0,
00005.58,783113.0,4025.0,-792505.0,-4051.0,
000005.6,783779.0,4028.0,-793353.0,-4045.0,
00005.62,784622.0,4030.0,-794318.0,-4040.0,
00005.64,785471.0,4032.0,-794948.0,-4038.0,
00005.66,786305.0,4034.0,-795737.0,-4038.0,
00005.68,787150.0,4035.0,-796538.0,-4039.0,
000005.7,787816.0,4036.0,-797394.0,-4037.0,
00005.72,788662.0,4037.0,-798203.0,-4037.0,
00005.74,789507.0,4037.0,-799167.0,-4040.0,
00005.76,790346.0,4037.0,-799951.0,-4045.0,
00005.78,791188.0,4038.0,-800599.0,-4051.0,
000005.8,792024.0,4039.0,-801628.0,-4057.0,
00005.82,792703.0,4040.0,-802431.0,-4062.0,
00005.84,793550.0,4041.0,-803236.0,-4064.0,
00005.86,794391.0,4042.0,-803875.0,-4066.0,
00005.88,795233.0,4043.0,-804679.0,-4070.0,
000005.9,796070.0,4043.0,-805538.0,-4073.0,
00005.92,796747.0,4044.0,-806344.0,-4075.0,
00005.94,797595.0,4043.0,-807141.0,-4075.0,
00005.96,798435.0,4043.0,-808094.0,-4072.0,
00005.98,799270.0,4043.0,-808732.0,-4068.0,
000006.0,800107.0,4043.0,-809597.0,-4062.0,
00006.02,800954.0,4041.0,-810399.0,-4059.0,
00006.04,801803.0,4040.0,-811198.0,-4056.0,
00006.06,802474.0,4040.0,-811992.0,-4056.0,
00006.08,803318.0,4041.0,-812786.0,-4055.0,
000006.1,804153.0,4041.0,-813635.0,-4053.0,
00006.12,805001.0,4043.0,-814460.0,-4051.0,
00006.14,805855.0,4044.0,-815249.0,-4049.0,
00006.16,806692.0,4047.0,-816044.0,-4049.0,
00006.18,807367.0,4049.0,-817008.0,-4051.0,
000006.2,808209.0,4051.0,-817695.0,-4054.0,
00006.22,809059.0,4053.0,-818528.0,-4055.0,
00006.24,809909.0,4055.0,-819317.0,-4059.0,
00006.26,810580.0,4057.0,-820120.0,-4063.0,
00006.28,811427.0,4057.0,-820909.0,-4067.0,
000006.3,812270.0,4057.0,-821759.0,-4070.0,
00006.32,813115.0,4057.0,-822595.0,-4070.0,
00006.34,813966.0,4057.0,-823387.0,-4069.0,
00006.36,814808.0,4056.0,-824193.0,-4069.0,
00006.38,815480.0,4056.0,-824983.0,-4070.0,
000006.4,816321.0,4056.0,-825834.0,-4071.0,
00006.42,817165.0,4055.0,-826824.0,-4072.0,
00006.44,818013.0,4053.0,-827460.0,-4073.0,
00006.46,818858.0,4051.0,-828415.0,-4072.0,
00006.48,819699.0,4050.0,-829035.0,-4069.0,
000006.5,820374.0,4049.0,-829898.0,-4065.0,
00006.52,821218.0,4049.0,-830727.0,-4062.0,
00006.54,822071.0,4050.0,-831524.0,-4060.0,
00006.56,822910.0,4052.0,-832321.0,-4060.0,
00006.58,823753.0,4054.0,-833273.0,-4061.0,
