04.28.09.52,L-RPM,R-RPM,L1-AMP,L2-AMP,L3-AMP,L4-AMP,L1-V,L2-V,L3-V,L4-V,R1-AMP,R2-AMP,R3-AMP,R4-AMP,R1-V,R2-V,R3-V,R4-V,Elev_1-AMP,Elev_2-AMP,Elev_1-V,Elev_2-V,Intake_L-AMP,Intake_R-AMP,Climber_1-AMP,Climber_2-AMP,BATTERY
000000.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.67415576171875
00000.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.686720703125
000000.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.67415576171875
00000.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.680438232421874
000000.4,0.0,0.0,0.0,0.0,0.0,0.0,1.7266862170087975,0.7131964809384165,0.7104105571847508,0.7048387096774194,0.0,0.0,0.0,0.0,-1.0714565004887586,0.0,-0.8991202346041056,-1.0095307917888563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.353749755859374
00000.45,0.0,0.0,4.25,1.875,1.5,1.75,3.5784946236559136,3.5784946236559136,3.5645161290322576,3.536559139784946,2.875,1.0,1.0,1.25,-3.1591397849462366,-3.5784946236559136,-3.5225806451612898,-3.5645161290322576,0.0,0.0,-1.7380254154447703,-1.0219941348973607,0.0,0.0,0.0,0.0,11.826022216796874
000000.5,7.32421875E-4,0.001953125,5.625,4.0,4.0,5.0,3.5784946236559136,3.5784946236559136,3.5645161290322576,3.536559139784946,5.375,5.25,5.5,4.875,-3.1591397849462366,-3.5784946236559136,-3.5225806451612898,-3.5645161290322576,0.75,0.0,-2.979472140762464,-2.268328445747801,0.0,0.0,0.0,0.0,11.66896044921875
00000.55,0.034423828125,0.034912109375,6.875,6.125,4.875,6.5,3.5784946236559136,3.5784946236559136,3.5645161290322576,3.536559139784946,5.375,5.625,5.875,5.375,-3.1591397849462366,-3.5784946236559136,-3.5225806451612898,-3.5645161290322576,3.0,1.625,-3.9726295210166183,-3.51466275659824,0.0,0.0,0.0,0.0,11.53074609375
000000.6,0.07080078125,0.0693359375,6.0,4.875,3.875,5.0,1.6926686217008797,2.6190615835777122,2.585483870967742,2.5407135874877813,3.75,4.75,4.875,4.75,-1.7243401759530794,-2.9722873900293254,-2.8957478005865105,-2.934017595307918,6.0,4.125,-3.8220918866080154,-4.064516129032259,0.0,0.0,0.0,0.0,12.077321044921874
00000.65,0.1005859375,0.10205078125,2.125,1.875,1.375,1.875,-2.012903225806452,-1.578299120234604,-1.5580645161290323,-1.6198435972629524,1.125,1.625,1.875,1.625,2.1554252199413493,1.3665689149560118,1.3313782991202348,1.3489736070381233,6.625,6.0,-2.9227761485826003,-3.0258064516129033,0.0,0.0,0.0,0.0,11.555875976562499
000000.7,0.110107421875,0.113525390625,5.0,2.25,2.375,2.5,-3.2709677419354835,-3.2709677419354835,-3.229032258064516,-3.1731182795698927,5.375,3.625,3.375,3.75,2.739784946236559,3.256989247311828,3.1731182795698927,3.21505376344086,2.375,3.125,-1.573802541544477,-1.7161290322580647,0.0,0.0,0.0,0.0,11.134950439453124
00000.75,0.089599609375,0.098876953125,8.5,8.25,7.25,8.625,-3.1731182795698927,-3.1731182795698927,-3.1311827956989244,-3.117204301075269,8.125,7.625,8.25,8.375,2.725806451612903,3.1731182795698927,3.089247311827957,3.1311827956989244,0.75,1.125,-0.6480938416422288,-1.029130009775171,0.0,0.0,0.0,0.0,11.273164794921875
000000.8,0.00732421875,0.009521484375,8.625,7.75,7.0,7.875,-3.1731182795698927,-3.1731182795698927,-3.1311827956989244,-3.117204301075269,6.875,6.875,7.375,7.625,2.725806451612903,3.1731182795698927,3.089247311827957,3.1311827956989244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5056162109375
