2018.07.14.09.59,L-RPM,R-RPM,L1-AMP,L2-AMP,L3-AMP,L4-AMP,L1-V,L2-V,L3-V,L4-V,R1-AMP,R2-AMP,R3-AMP,R4-AMP,R1-V,R2-V,R3-V,R4-V,Elev_1-AMP,Elev_2-AMP,Elev_1-V,Elev_2-V,Intake_L-AMP,Intake_R-AMP,Climber_1-AMP,Climber_2-AMP,BATTERY
07.14.10.01.09.865,-0.00244140625,-0.003173828125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,24.875,20.25,-7.269794721407625,-7.096187683284458,0.0,0.0,0.0,0.0,11.078408203124999
07.14.10.01.09.990,-0.006103515625,-0.005126953125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,34.75,31.125,-9.028836754643207,-9.67859237536657,0.0,0.0,0.0,0.0,10.682612548828125
07.14.10.01.10.115,-0.006591796875,-0.0068359375,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,43.25,40.375,-10.15,-10.15,0.0,0.0,0.0,0.0,10.575810546875
07.14.10.01.10.240,-0.0068359375,-0.007568359375,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,36.875,33.125,-9.9,-10.05,0.0,0.0,0.0,0.0,10.732872314453125
07.14.10.01.10.366,-0.005859375,-0.00537109375,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,33.25,31.125,-10.2,-10.350000000000001,0.0,0.0,0.0,0.0,10.795697021484374
07.14.10.01.10.490,-0.002685546875,-0.001708984375,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,28.75,29.75,-9.424046920821114,-9.62184750733138,0.0,0.0,0.0,0.0,11.2291875
07.14.10.01.10.615,0.0,0.0,1.0,0.0,0.25,0.0,1.6441837732160316,1.6512707722385145,1.6370967741935487,1.6300097751710656,0.0,0.0,0.125,0.375,1.4103128054740959,1.6441837732160316,1.6229227761485827,1.6441837732160316,13.0,12.75,-6.780840664711633,-7.146774193548387,0.0,0.0,0.0,0.0,11.587288330078124
07.14.10.01.10.741,0.0107421875,-0.014404296875,0.875,0.875,0.875,0.75,1.0318670576735094,1.036314760508309,1.0274193548387098,1.02297165200391,1.125,1.5,1.75,1.625,1.429765395894428,1.6668621700879769,1.645307917888563,1.6668621700879769,21.375,0.125,-4.535483870967742,0.0,0.0,0.0,0.0,0.0,11.511898681640625
07.14.10.01.10.865,0.01708984375,-0.065673828125,0.5,0.125,0.25,0.125,-1.258651026392962,-1.258651026392962,-1.253225806451613,-1.247800586510264,0.25,1.0,1.125,1.125,1.047067448680352,1.258651026392962,1.236950146627566,1.253225806451613,10.625,0.0,-1.8528347996089933,0.0,0.0,0.0,0.0,0.0,11.983083984375
07.14.10.01.10.990,-0.026123046875,-0.035400390625,0.375,0.25,0.25,0.125,-1.3129032258064517,-1.3183284457478006,-1.3129032258064517,-1.3074780058651028,0.125,0.75,0.875,0.875,1.0850439882697946,1.3237536656891498,1.2966275659824047,1.3129032258064517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.096168457031249
07.14.10.01.11.115,-0.066650390625,-0.057373046875,0.375,0.25,0.25,0.125,-1.3291788856304985,-1.3237536656891498,-1.3237536656891498,-1.3129032258064517,0.0,0.5,0.5,0.75,1.1338709677419354,1.3291788856304985,1.3074780058651028,1.3183284457478006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.17155810546875
07.14.10.01.11.240,-0.07861328125,-0.08056640625,0.5,0.375,0.5,0.375,-1.3291788856304985,-1.3237536656891498,-1.3237536656891498,-1.3129032258064517,0.0,0.625,0.75,0.75,1.095894428152493,1.3291788856304985,1.3074780058651028,1.3237536656891498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.177840576171874
07.14.10.01.11.365,-0.0751953125,-0.072998046875,0.375,0.125,0.25,0.0,-1.3291788856304985,-1.3291788856304985,-1.3237536656891498,-1.3129032258064517,0.0,0.125,0.25,0.375,1.095894428152493,1.3291788856304985,1.3074780058651028,1.3237536656891498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.215535400390625
07.14.10.01.11.490,-0.090087890625,-0.0927734375,0.375,0.125,0.25,0.0,-1.110654936461388,-1.3400293255131965,-1.3291788856304985,-1.3237536656891498,0.0,0.125,0.25,0.375,0.9442815249266863,1.3400293255131965,1.2233137829912024,1.1375855327468232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.240665283203125
