2018.07.13.17.46,L-RPM,R-RPM,L1-AMP,L2-AMP,L3-AMP,L4-AMP,L1-V,L2-V,L3-V,L4-V,R1-AMP,R2-AMP,R3-AMP,R4-AMP,R1-V,R2-V,R3-V,R4-V,Elev_1-AMP,Elev_2-AMP,Elev_1-V,Elev_2-V,Intake_L-AMP,Intake_R-AMP,Climber_1-AMP,Climber_2-AMP,BATTERY
07.13.17.46.55.770,0.2763671875,-0.18603515625,14.75,6.25,7.0,7.0,-6.022482893450636,-5.2326490713587495,-5.158602150537634,-5.158602150537634,15.125,13.0,13.375,14.5,4.2404692082111435,4.911779081133919,4.911779081133919,4.862414467253178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.506703369140626
07.13.17.46.55.896,-0.108642578125,-0.239013671875,5.0,11.375,10.375,11.625,-1.2515151515151517,-1.1823069403714563,-1.1246334310850439,-1.1361681329423265,0.125,0.75,0.875,0.875,0.9853372434017595,1.089345063538612,1.089345063538612,1.0783968719452592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.42285693359375
07.13.17.46.56.021,-0.12158203125,-0.282958984375,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.375,0.0,-1.4360703812316715,-1.4360703812316715,0.0,0.0,0.0,0.0,12.416574462890624
07.13.17.46.56.145,-0.1142578125,-0.189453125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,7.125,6.375,-4.113489736070381,-3.8162267839687196,0.0,0.0,0.0,0.0,11.97051904296875
07.13.17.46.56.271,-0.113037109375,-0.158935546875,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.25,19.75,-6.723558162267841,-6.274095796676441,0.0,0.0,0.0,0.0,11.335989501953124
07.13.17.46.56.396,-0.107177734375,-0.125244140625,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,37.75,33.25,-8.642130987292278,-8.858846529814272,0.0,0.0,0.0,0.0,10.758002197265625
07.13.17.46.56.521,-0.09814453125,-0.099609375,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,52.25,47.0,-9.65,-10.15,0.0,0.0,0.0,0.0,10.43759619140625
07.13.17.46.56.646,-0.08642578125,-0.084716796875,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.25,45.125,-9.9,-9.9,0.0,0.0,0.0,0.0,10.758002197265625
07.13.17.46.56.771,-0.072509765625,-0.070068359375,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,30.0,31.375,-7.751612903225807,-8.669354838709676,0.0,0.0,0.0,0.0,11.524463623046875
07.13.17.46.56.896,-0.04931640625,-0.05322265625,0.5,0.0,0.25,0.0,0.9071358748778104,0.9305962854349952,0.9266862170087977,0.9266862170087977,0.0,0.0,0.125,0.25,-0.8054740957966765,-0.9384164222873901,-0.9188660801564027,-0.9305962854349952,13.25,12.25,-6.360899315738026,-6.782111436950147,0.0,0.0,0.0,0.0,11.94538916015625
07.13.17.46.57.021,-0.01416015625,-0.009765625,0.625,0.5,0.5,0.5,0.0,0.0,0.0,0.0,2.625,3.25,3.375,3.375,-2.0930596285434997,-2.4868035190615836,-2.4349951124144673,-2.4660801564027373,4.625,5.0,-3.9166666666666665,-3.99149560117302,0.0,0.0,0.0,0.0,12.039626220703125
07.13.17.46.57.146,0.020751953125,0.056396484375,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75,3.5,3.625,3.375,-2.0930596285434997,-2.497165200391007,-2.424633431085044,-2.4868035190615836,0.125,0.5,-1.1995601173020527,-1.525806451612903,0.0,0.0,0.0,0.0,12.215535400390625
07.13.17.46.57.271,0.038330078125,0.09765625,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.125,2.75,2.625,2.75,-2.1448680351906164,-2.5593352883675466,-2.5075268817204304,-2.5386119257087,0.375,0.25,0.700733137829912,0.9979472140762463,0.0,0.0,0.0,0.0,12.265795166015625
07.13.17.46.57.396,0.064208984375,0.1337890625,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,2.25,2.25,2.25,-2.1448680351906164,-2.56969696969697,-2.528250244379277,-2.5593352883675466,0.125,0.0,0.3951612903225806,0.0,0.0,0.0,0.0,0.0,12.3097724609375
07.13.17.46.57.521,0.070068359375,0.142578125,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,1.875,1.75,1.875,-2.1655913978494623,-2.56969696969697,-2.528250244379277,-2.5593352883675466,0.0,0.0,0.4587487781036168,0.0,0.0,0.0,0.0,0.0,12.372597167968749
07.13.17.46.57.646,0.06298828125,0.158935546875,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.875,1.625,1.75,-2.1655913978494623,-2.590420332355816,-2.5386119257087,-2.56969696969697,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,12.385162109374999
07.13.17.46.57.771,0.0712890625,0.167236328125,0.375,0.0,0.0,0.0,1.8328445747800588,0.7942326490713587,1.7768328445747803,1.8181818181818183,0.625,1.5,1.375,1.375,-2.175953079178886,-2.5800586510263934,-2.5489736070381235,-2.56969696969697,1.625,1.0,2.406891495601173,2.1541055718475075,0.0,0.0,0.0,0.0,12.165275634765624
07.13.17.46.57.896,0.095947265625,0.1708984375,1.625,1.125,0.875,0.625,2.590420332355816,2.5386119257087,2.528250244379277,2.5075268817204304,0.625,1.25,1.125,1.125,-1.9834799608993159,-2.358993157380254,-2.3204789833822095,-2.349364613880743,1.75,1.75,1.1735092864125123,1.4666666666666666,0.0,0.0,0.0,0.0,12.303489990234375
07.13.17.46.58.021,0.14599609375,0.174072265625,1.375,1.125,1.25,1.125,2.016080156402737,2.0405669599217986,2.0324046920821117,2.016080156402737,0.125,0.25,0.375,0.375,1.1085043988269796,1.282991202346041,1.2675953079178885,1.277859237536657,0.125,0.0,0.1683284457478006,0.0,0.0,0.0,0.0,0.0,12.4102919921875
07.13.17.46.58.146,0.13623046875,0.099365234375,1.125,0.625,0.875,0.625,2.016080156402737,2.0405669599217986,2.0324046920821117,2.016080156402737,2.875,3.625,4.125,3.625,1.7630498533724341,2.0405669599217986,2.016080156402737,2.0324046920821117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.202970458984375
