2018.07.13.14.16,L-RPM,R-RPM,L1-AMP,L2-AMP,L3-AMP,L4-AMP,L1-V,L2-V,L3-V,L4-V,R1-AMP,R2-AMP,R3-AMP,R4-AMP,R1-V,R2-V,R3-V,R4-V,Elev_1-AMP,Elev_2-AMP,Elev_1-V,Elev_2-V,Intake_L-AMP,Intake_R-AMP,Climber_1-AMP,Climber_2-AMP,BATTERY
07.13.14.16.47.423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.479399169921875
07.13.14.16.47.548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.479399169921875
07.13.14.16.47.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.485681640625
07.13.14.16.47.798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.47311669921875
07.13.14.16.47.923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.485681640625
07.13.14.16.48.048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.485681640625
07.13.14.16.48.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.479399169921875
07.13.14.16.48.303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.479399169921875
07.13.14.16.48.423,0.0,0.0,0.125,0.0,0.0,0.0,1.0961876832844575,1.0961876832844575,1.091837732160313,1.0874877810361683,0.0,0.0,0.0,0.125,-1.512218963831867,-1.6011730205278591,-1.5757575757575757,-1.5948191593352885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.316054931640625
07.13.14.16.48.548,0.02099609375,0.011474609375,10.125,4.75,5.25,5.875,8.268621700879766,7.029325513196481,7.000000000000001,7.036265884652982,9.75,6.125,6.625,6.125,-7.422873900293256,-7.687976539589443,-7.522287390029326,-7.801564027370478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7967841796875
07.13.14.16.48.673,0.41943359375,0.4326171875,20.125,16.125,12.875,14.625,11.4,11.75,11.55,11.3,16.875,16.375,12.375,12.5,-9.600000000000001,-10.4,-10.15,-10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.758002197265625
07.13.14.16.48.798,0.937255859375,0.93798828125,11.125,5.875,2.375,3.0,10.350000000000001,10.4,10.25,10.25,9.875,7.625,5.5,3.25,-9.0,-10.4,-10.15,-10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.411379150390625
07.13.14.16.48.923,1.056640625,1.071533203125,8.375,3.0,1.0,1.25,9.552639296187685,10.229912023460411,10.007526881720432,9.864027370478984,4.375,4.375,2.5,1.5,-7.510263929618768,-9.37512218963832,-9.209921798631477,-9.18651026392962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.598766113281249
07.13.14.16.49.048,1.013427734375,0.987060546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.333815185546875
07.13.14.16.49.173,0.477294921875,0.435791015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.334902343749999
07.13.14.16.49.298,0.412353515625,0.3779296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.341184814453124
