2018.07.13.14.43,L-RPM,R-RPM,L1-AMP,L2-AMP,L3-AMP,L4-AMP,L1-V,L2-V,L3-V,L4-V,R1-AMP,R2-AMP,R3-AMP,R4-AMP,R1-V,R2-V,R3-V,R4-V,Elev_1-AMP,Elev_2-AMP,Elev_1-V,Elev_2-V,Intake_L-AMP,Intake_R-AMP,Climber_1-AMP,Climber_2-AMP,BATTERY
07.13.14.43.34.318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.485681640625
07.13.14.43.34.443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.47311669921875
07.13.14.43.34.568,0.0,0.0,1.125,0.0,0.0,0.0,3.5225806451612898,3.39941348973607,3.508602150537634,3.4806451612903224,2.125,1.5,1.875,1.5,-3.117204301075269,-3.5225806451612898,-3.4666666666666663,-3.508602150537634,0.125,0.0,-1.5151515151515151,-1.3249266862170088,0.0,0.0,0.0,0.0,11.888846923828124
07.13.14.43.34.693,0.066650390625,0.072998046875,2.25,1.625,1.75,1.75,3.3268817204301073,3.3268817204301073,3.2849462365591395,3.2709677419354835,0.125,0.75,0.875,0.75,-2.851612903225806,-3.3129032258064517,-3.256989247311828,-3.3129032258064517,7.25,5.5,-4.180840664711632,-3.8689149560117304,0.0,0.0,0.0,0.0,11.74435009765625
07.13.14.43.34.819,0.28125,0.2763671875,5.125,2.5,3.0,2.75,-3.368817204301075,-3.340860215053763,-3.3268817204301073,-3.3129032258064517,4.0,2.625,2.5,2.25,2.7956989247311825,3.354838709677419,3.2989247311827956,3.340860215053763,4.125,5.5,-1.6609970674486803,-1.9391006842619745,0.0,0.0,0.0,0.0,11.782044921875
07.13.14.43.34.943,-0.108642578125,-0.08251953125,1.5,1.0,1.0,0.625,-3.410752688172043,-3.396774193548387,-3.3827956989247308,-3.368817204301075,1.0,1.125,1.25,1.25,2.893548387096774,3.410752688172043,3.354838709677419,3.3827956989247308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.190405517578125
07.13.14.43.35.068,-0.299560546875,-0.282470703125,23.125,0.875,1.5,1.375,3.768523949169111,3.788709677419355,3.7731182795698923,3.7575268817204304,17.75,1.875,1.625,1.5,-2.397800586510264,-2.826392961876833,-2.7800586510263927,-2.803225806451613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.027061279296875
07.13.14.43.35.193,0.102783203125,0.105224609375,9.0,0.125,0.25,0.0,-3.1588465298142716,0.0,0.0,-0.6379765395894428,2.5,0.0,0.0,0.0,-1.4834310850439885,0.0,-1.056695992179863,-1.2473118279569895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.228100341796875
07.13.14.43.35.318,0.06787109375,0.0263671875,3.25,2.125,2.375,2.0,3.235386119257087,3.235386119257087,3.209188660801564,3.1960899315738027,1.5,1.875,1.5,1.5,-2.6710166177908117,-2.680058651026393,-2.7204301075268815,-2.5625610948191593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.027061279296875
07.13.14.43.35.443,0.178466796875,0.1943359375,3.75,1.0,1.0,0.875,2.6247800586510266,2.6031769305962857,2.592375366568915,2.570772238514174,2.0,0.75,0.75,0.75,-2.7721407624633434,-3.0743401759530795,-3.1739002932551323,-3.200684261974584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.140145751953124
07.13.14.43.35.568,0.20556640625,0.20556640625,3.625,2.875,3.75,3.125,5.510850439882698,5.3521016617790815,5.3067448680351905,5.238709677419355,3.375,2.25,2.5,2.125,-4.524340175953079,-4.43651026392962,-5.170674486803519,-5.21524926686217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7066552734375
07.13.14.43.35.693,0.292236328125,0.281982421875,14.875,2.625,3.5,3.0,4.060117302052786,4.290909090909091,4.254545454545454,4.008064516129033,6.75,4.375,4.25,3.75,-4.474731182795699,-5.224193548387097,-5.113978494623656,-5.1580645161290315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.875,10.833391845703124
07.13.14.43.35.818,0.331787109375,0.39697265625,7.0,5.625,6.0,6.25,6.514516129032259,6.507917888563051,6.429912023460411,6.401710654936463,5.375,3.75,3.75,3.375,-5.104692082111438,-4.4853372434017595,-5.503030303030304,-5.5069403714565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.431313720703125
07.13.14.43.35.943,0.437255859375,0.364013671875,7.0,5.0,5.0,5.0,6.20117302052786,6.258064516129033,6.286510263929619,6.229618768328446,9.75,8.0,8.25,7.5,-6.157624633431085,-7.451612903225806,-7.248387096774192,-7.383870967741935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.833391845703124
07.13.14.43.36.068,0.4912109375,0.538330078125,13.75,5.75,5.875,5.125,7.788758553274683,7.4500488758553285,7.520332355816227,7.6608993157380265,16.5,5.5,6.0,5.375,-5.651270772238514,-6.567693059628543,-6.445503421309874,-6.720430107526882,0.0,0.0,0.0,0.0,4.375,3.75,2.625,2.5,11.197775146484375
07.13.14.43.36.193,0.4873046875,0.493408203125,15.25,9.125,8.125,9.5,-10.850000000000001,8.103958944281526,7.90674486803519,8.268230694037145,17.0,11.375,11.25,10.375,-7.901466275659826,-8.696969696969697,-8.56969696969697,-8.4,0.0,0.0,0.0,0.0,4.125,0.0,2.25,2.125,10.456443603515625
07.13.14.43.36.318,0.677490234375,0.6435546875,14.625,6.5,6.75,6.375,8.20293255131965,7.4260997067448695,7.487976539589442,7.316129032258065,19.75,7.0,7.625,6.625,-6.6950146627565985,-7.624877810361681,-7.513294232649073,-7.364516129032259,0.0,0.0,0.0,0.0,4.375,3.625,2.625,2.5,10.066930419921874
07.13.14.43.36.443,0.662841796875,0.63232421875,18.0,5.25,5.125,6.375,8.201368523949169,7.834946236559139,7.976539589442814,8.214271749755621,14.0,10.125,10.625,8.625,-7.742668621700881,-8.714173998044968,-8.179814271749756,-8.295601173020527,0.0,0.0,0.0,0.0,4.25,3.625,2.625,2.375,10.582093017578124
07.13.14.43.36.569,0.593017578125,0.69580078125,18.375,11.125,10.25,11.375,8.55327468230694,8.841202346041054,8.63225806451613,8.468426197458456,18.75,7.125,6.0,4.75,-6.592082111436952,-7.253176930596286,-7.216911045943304,-7.32570869990225,0.0,0.0,0.0,0.0,4.125,3.5,2.25,2.125,10.525550781249999
07.13.14.43.36.693,0.7353515625,0.67919921875,18.625,3.625,4.625,5.125,6.211534701857283,6.323362658846531,6.101466275659825,6.141202346041057,16.0,10.5,9.875,8.875,-7.546089931573803,-8.630058651026394,-8.5049853372434,-8.713440860215053,0.0,0.0,0.0,0.0,4.5,4.125,2.875,2.625,10.594657958984374
07.13.14.43.36.818,0.7001953125,0.61669921875,20.25,7.375,7.125,6.375,-9.955425219941349,8.010948191593354,7.76275659824047,7.719501466275661,21.375,9.5,8.125,6.375,-7.06295210166178,-7.689149560117303,-7.577712609970674,-7.937096774193548,0.0,0.0,0.0,0.0,4.5,4.0,2.875,2.75,10.36220654296875
07.13.14.43.36.943,0.577880859375,0.757568359375,18.75,11.75,10.5,11.5,9.321994134897361,9.00117302052786,8.950830889540567,8.847262952101662,19.375,4.375,4.125,4.0,-7.235239491691104,-6.930351906158358,-6.8419354838709685,-7.034995112414467,0.0,0.0,0.0,0.0,4.125,3.5,2.125,1.875,10.267969482421874
07.13.14.43.37.068,0.766357421875,0.5556640625,17.125,3.0,3.0,3.25,-11.05,6.316862170087977,6.207233626588465,6.07126099706745,19.875,15.25,13.75,10.125,-7.278983382209187,-8.214271749755621,-7.929618768328445,-8.051612903225806,0.0,0.0,0.0,0.0,4.25,3.625,2.5,2.25,11.147515380859375
07.13.14.43.37.193,0.6767578125,0.802490234375,16.75,8.5,8.625,7.875,-10.64848484848485,8.5905669599218,8.509139784946237,8.255718475073314,16.375,2.625,2.375,2.375,-6.81622678396872,-7.580058651026394,-7.404594330400783,-7.641348973607038,0.0,0.0,0.0,0.0,4.25,3.5,2.875,2.375,10.167449951171875
07.13.14.43.37.318,0.609375,0.588623046875,15.25,9.75,8.5,9.125,8.90909090909091,8.372238514173999,8.293255131964811,8.334310850439884,15.5,6.25,5.375,4.25,-8.438905180840665,-6.586363636363637,-6.34828934506354,-6.466129032258064,0.0,0.0,0.0,0.0,4.25,3.625,2.5,2.375,10.173732421875
07.13.14.43.37.443,0.721435546875,0.62646484375,13.5,4.75,5.125,5.0,6.93841642228739,6.930791788856306,6.76295210166178,6.717057673509286,23.625,13.25,14.25,11.5,-8.064809384164223,-8.953812316715544,-8.737536656891496,-9.04032258064516,0.0,0.0,0.0,0.0,4.125,3.625,2.5,2.375,11.046995849609374
07.13.14.43.37.568,0.672607421875,0.751708984375,14.375,5.75,5.875,6.125,-9.713782991202347,7.218768328445748,7.083822091886608,7.405865102639297,12.125,3.5,3.25,2.625,-5.223460410557186,-6.394134897360705,-6.054349951124145,-6.099706744868035,0.0,0.0,0.0,0.0,4.125,3.625,2.625,2.25,10.249122070312499
07.13.14.43.37.693,0.5732421875,0.680419921875,21.25,6.625,6.25,6.75,-11.15,7.0075268817204295,6.964662756598241,6.7521505376344075,10.625,7.0,7.375,6.375,-6.249755620723362,-7.189442815249267,-7.023020527859238,-7.023020527859238,0.0,0.0,0.0,0.0,4.25,3.625,2.375,2.25,9.60831005859375
07.13.14.43.37.818,0.61767578125,0.495849609375,8.0,2.625,2.375,2.125,-9.275317693059629,5.073607038123167,4.9346041055718475,4.9346041055718475,14.5,5.625,6.375,5.25,9.4,-5.694428152492668,-5.486412512218964,-5.4475073313783,0.0,0.0,0.0,0.0,4.125,3.5,2.25,2.125,12.108733398437499
