Time, L1-AMPERAGE, L2-AMPERAGE,L3-AMPERAGE,L4-AMPERAGE,R1-AMPERAGE,R2-AMPERAGE,R3-AMPERAGE,R4-AMPERAGE, BATTERY
00001.52,9.0,0.375,3.25,5.875,1.5,0.25,9.75,21.625,11.0030185546875,
00001.56,9.375,0.375,3.25,5.25,0.875,0.25,10.125,20.625,10.695177490234375,
00001.58,9.0,0.375,3.125,5.0,1.0,0.375,10.375,19.75,10.657482666015625,
000001.6,9.375,0.375,2.875,5.0,1.0,0.25,10.5,19.625,10.732872314453125,
00001.62,8.75,0.25,2.75,5.0,1.0,0.375,10.125,19.5,10.801979492187499,
00001.62,8.875,0.25,2.75,5.0,1.0,0.375,9.875,21.25,10.7517197265625,
00001.64,8.875,0.25,2.625,4.625,0.875,0.5,10.125,21.75,10.61350537109375,
00001.66,9.0,0.375,2.375,4.75,0.75,0.5,10.375,22.125,10.76428466796875,
00001.68,9.125,0.375,2.375,5.0,0.75,0.375,9.875,22.75,10.933911376953125,
000001.7,9.375,0.25,2.375,5.375,0.625,0.625,9.625,22.125,10.896216552734375,
00001.72,9.5,0.25,2.375,5.0,0.875,0.625,10.0,21.375,11.342271972656249,
00001.76,9.375,0.25,2.375,5.0,1.0,0.5,10.125,21.25,10.977888671875,
00001.78,9.0,0.25,2.625,4.625,1.125,0.25,10.25,22.5,10.91506396484375,
000001.8,8.625,0.25,2.375,4.75,1.125,0.25,9.875,23.75,10.73915478515625,
00001.82,8.5,0.375,2.25,4.5,1.125,0.625,9.75,23.0,10.984171142578125,
00001.84,8.375,0.375,1.875,4.5,0.75,0.625,10.25,22.5,11.0030185546875,
00001.86,7.5,0.375,2.125,4.0,0.625,0.375,10.125,20.375,11.681525390625,
00001.88,5.75,0.25,1.0,2.125,0.625,0.0,7.375,14.75,12.177840576171874,
000001.9,0.5,0.0,0.375,0.75,0.5,0.0,4.75,9.125,12.74954541015625,
00001.94,0.0,0.0,0.0,0.0,0.125,0.0,2.25,4.875,13.189318359375,
00001.94,0.0,0.0,0.0,0.0,0.0,0.0,0.5,2.125,13.35266259765625,
00001.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.485681640625,
000002.0,2.125,0.0,0.0,0.0,0.125,0.0,0.125,0.0,11.046995849609374,
00002.02,7.0,0.25,2.5,2.125,3.375,0.75,1.375,2.625,10.12347265625,
00002.04,13.0,3.0,5.875,5.5,15.5,4.0,3.75,6.125,9.727677001953124,
00002.06,18.875,8.375,9.375,9.375,21.375,7.5,5.875,9.75,9.275339111328124,
00002.08,23.0,9.375,12.375,12.75,24.75,13.75,7.5,13.25,8.766458984375,
000002.1,26.5,9.75,14.5,15.75,27.75,15.375,8.125,15.5,8.534007568359375,
00002.12,28.375,9.75,17.125,18.875,28.5,16.875,9.125,18.25,8.860696044921875,
00002.14,27.125,9.625,18.25,20.625,26.75,16.875,9.125,19.625,9.3444462890625,
00002.16,24.375,9.125,18.625,21.0,23.375,16.75,8.5,19.375,9.664852294921875,
00002.18,20.5,8.75,17.625,19.625,19.875,15.0,6.875,18.125,10.12347265625,
000002.2,17.75,5.5,15.375,17.5,17.875,12.375,4.25,15.875,10.318229248046874,
00002.22,16.25,2.875,11.375,14.125,16.125,10.625,1.875,12.5,10.456443603515625,
00002.26,14.25,2.125,9.625,12.75,14.25,9.0,1.75,11.25,10.6009404296875,
00002.26,13.125,1.75,9.0,11.5,12.875,7.75,1.125,10.125,10.76428466796875,
00002.28,12.125,1.25,8.25,10.625,11.5,6.125,1.125,9.5,10.776849609374999,
000002.3,11.625,1.125,7.75,10.125,10.875,4.75,1.0,8.75,10.896216552734375,
00002.32,11.0,0.625,6.875,9.75,10.125,4.0,1.0,8.25,10.933911376953125,
00002.34,10.375,0.625,6.0,9.125,9.625,4.0,0.875,8.0,11.01558349609375,
00002.36,9.75,0.625,5.25,9.0,9.375,3.75,0.875,7.875,11.084690673828124,
00002.38,9.75,0.625,4.625,8.625,9.25,3.5,0.75,7.875,11.1537978515625,
000002.4,9.5,0.375,4.125,8.125,9.25,3.0,0.75,7.75,11.122385498046874,
00002.42,8.875,0.375,4.125,8.125,8.875,2.75,0.625,7.5,11.134950439453124,
00002.44,8.875,0.25,4.125,7.875,8.5,2.25,0.625,7.0,11.1035380859375,
00002.46,8.875,0.25,3.75,7.875,8.125,2.125,0.625,7.0,11.109820556640624,
00002.48,8.625,0.25,3.5,7.875,7.875,2.0,0.625,7.0,11.185210205078125,
000002.5,8.625,0.375,3.0,7.375,7.875,2.0,0.625,6.75,11.160080322265625,
00002.52,8.625,0.375,3.125,6.875,7.875,2.125,0.625,6.125,11.222905029296875,
00002.54,8.5,0.25,3.0,6.75,7.875,1.875,0.375,5.875,11.235469970703125,
00002.56,8.5,0.25,3.0,6.75,7.375,1.875,0.625,5.125,11.285729736328125,
00002.58,8.5,0.25,3.0,6.875,7.25,1.875,0.625,4.875,11.172645263671875,
000002.6,8.0,0.25,3.0,7.25,7.125,2.0,0.625,5.125,11.2040576171875,
00002.62,7.625,0.25,2.625,7.125,7.125,2.0,0.375,4.5,11.273164794921875,
00002.64,7.5,0.25,2.625,6.875,7.125,2.0,0.375,4.25,11.24175244140625,
00002.66,7.875,0.25,2.625,6.875,6.875,2.125,0.375,4.25,11.398814208984374,
00002.68,8.0,0.25,2.625,6.625,7.0,1.875,0.375,4.5,11.2543173828125,
000002.7,7.625,0.25,2.625,6.625,7.0,2.0,0.375,4.5,11.24175244140625,
00002.72,7.5,0.25,2.5,6.875,7.25,1.75,0.375,4.5,11.273164794921875,
00002.74,7.375,0.25,2.5,6.625,7.25,1.75,0.375,4.75,11.235469970703125,
00002.76,7.5,0.25,2.5,6.875,7.25,1.75,0.375,4.75,11.235469970703125,
00002.78,8.0,0.25,2.0,6.375,7.0,1.75,0.625,4.5,11.260599853515625,
