04.26.10.09,L-RPM,R-RPM,L1-AMP,L2-AMP,L3-AMP,L4-AMP,L1-V,L2-V,L3-V,L4-V,R1-AMP,R2-AMP,R3-AMP,R4-AMP,R1-V,R2-V,R3-V,R4-V,Elev_1-AMP,Elev_2-AMP,Elev_1-V,Elev_2-V,Intake_L-AMP,Intake_R-AMP,Climber_1-AMP,Climber_2-AMP,BATTERY
000000.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.586201171875
00000.05,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.586201171875
000000.1,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.579918701171875
00000.15,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.592483642578124
000000.2,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.592483642578124
00000.25,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.598766113281249
000000.3,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.598766113281249
00000.35,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.598766113281249
000000.4,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.592483642578124
00000.45,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.592483642578124
000000.5,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.605048583984374
00000.55,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.586201171875
000000.6,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.586201171875
00000.65,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.605048583984374
000000.7,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.605048583984374
00000.75,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.611331054687499
000000.8,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.579918701171875
00000.85,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.605048583984374
000000.9,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.598766113281249
00000.95,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.8065493646138808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.542223876953125
000001.0,0.0,0.0,1.625,1.125,1.5,1.125,5.234604105571848,3.400537634408602,3.485630498533724,3.484066471163245,1.5,0.75,1.0,1.25,4.337927663734115,3.2150537634408605,3.1642228739002936,3.3131964809384162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.160080322265625
00001.05,0.00390625,0.0,21.25,10.875,10.875,10.875,7.166422287390029,7.11021505376344,7.082111436950146,7.054007820136852,10.75,6.5,6.375,7.25,6.278005865102639,7.12258064516129,7.009970674486803,7.094428152492668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.828196533203124
000001.1,0.0341796875,-0.043212890625,27.375,24.625,22.75,23.75,7.166422287390029,7.11021505376344,7.082111436950146,7.054007820136852,17.0,16.25,17.125,16.75,6.278005865102639,7.12258064516129,7.009970674486803,7.094428152492668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.016670654296874
00001.15,0.1318359375,-0.134521484375,22.0,22.25,20.25,20.875,5.508308895405669,5.5364125122189645,5.480205278592375,5.395894428152493,15.875,16.125,16.875,16.5,4.560703812316716,5.546041055718475,5.405278592375367,5.517888563049853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.872173828125
000001.2,0.183349609375,-0.237548828125,20.625,18.875,17.125,18.625,5.508308895405669,5.5364125122189645,5.480205278592375,5.395894428152493,17.0,17.5,18.625,18.0,4.560703812316716,5.546041055718475,5.405278592375367,5.517888563049853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1988623046875
00001.25,0.2275390625,-0.241455078125,16.625,16.375,14.75,14.875,5.508308895405669,5.5364125122189645,5.480205278592375,5.395894428152493,16.75,16.875,17.5,16.875,4.560703812316716,5.546041055718475,5.405278592375367,5.517888563049853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.374771484375
000001.3,0.2587890625,-0.25634765625,15.5,15.0,13.25,13.625,5.789345063538612,5.8455522971652,5.705034213098729,5.676930596285435,14.875,14.875,15.375,15.375,4.842228739002933,5.827565982404693,5.686803519061584,5.79941348973607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.469008544921875
00001.35,0.3037109375,-0.28125,18.5,15.0,13.75,13.75,7.5815249266862175,7.07565982404692,6.98494623655914,6.950537634408604,13.0,13.5,14.0,13.5,3.5476050830889547,4.76524926686217,4.650146627565983,4.732160312805474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.1988623046875
000001.4,0.32470703125,-0.310546875,44.875,30.75,28.375,29.25,10.128836754643206,10.227174975562074,9.981329423264908,9.932160312805475,1.375,3.0,3.0,2.875,-0.5380254154447703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5957451171875
00001.45,0.369140625,-0.31103515625,44.125,41.25,37.0,37.125,9.15,10.4,10.15,10.100000000000001,2.25,1.375,1.375,1.5,-3.129032258064516,-3.348826979472141,-3.2679374389051814,-3.3427174975562073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.18110205078125
000001.5,0.487548828125,-0.24951171875,32.0,31.875,27.75,27.75,9.15,9.3,9.15,9.05,21.125,17.0,16.5,16.25,-7.048387096774194,-7.512707722385142,-7.3545454545454545,-6.663978494623656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.47746533203125
00001.55,0.546142578125,-0.10986328125,27.875,27.5,23.625,23.375,9.15,9.3,9.15,9.05,36.0,30.75,28.5,28.0,-8.25,-9.5,-9.3,-9.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.439770507812499
000001.6,0.55712890625,0.201904296875,26.5,25.5,22.75,22.0,7.558260019550343,8.936363636363637,8.720674486803519,8.625366568914957,35.375,35.875,34.125,32.875,-6.5469208211143695,-9.277126099706745,-9.081818181818182,-8.951612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.470095703124999
