04.26.14.05,L-RPM,R-RPM,L1-AMP,L2-AMP,L3-AMP,L4-AMP,L1-V,L2-V,L3-V,L4-V,R1-AMP,R2-AMP,R3-AMP,R4-AMP,R1-V,R2-V,R3-V,R4-V,Elev_1-AMP,Elev_2-AMP,Elev_1-V,Elev_2-V,Intake_L-AMP,Intake_R-AMP,Climber_1-AMP,Climber_2-AMP,BATTERY
000000.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.636460937499999
00000.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.642743408203124
000000.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.630178466796874
00000.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.642743408203124
000000.4,0.0,0.0,0.0,0.0,0.0,0.0,0.6005865102639296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.57363623046875
00000.45,0.0,0.0,3.25,1.0,1.0,0.875,3.550537634408602,3.4274193548387095,3.400537634408602,3.485630498533724,1.625,0.375,0.5,0.625,-3.103225806451613,-3.5645161290322576,-3.508602150537634,-3.536559139784946,0.0,0.0,-1.2563049853372432,-0.7419354838709679,0.0,0.0,0.0,0.0,12.039626220703125
000000.5,0.0,0.0,5.625,3.75,3.125,3.375,3.550537634408602,3.5645161290322576,3.536559139784946,3.5225806451612898,4.0,3.125,2.75,2.875,-3.103225806451613,-3.5645161290322576,-3.508602150537634,-3.536559139784946,0.25,0.0,-2.4879765395894426,-1.978494623655914,0.0,0.0,0.0,0.0,11.398814208984374
00000.55,0.013671875,0.008544921875,6.625,6.0,5.125,5.625,3.550537634408602,3.5645161290322576,3.536559139784946,3.5225806451612898,4.875,5.625,5.375,5.375,-3.103225806451613,-3.5645161290322576,-3.508602150537634,-3.536559139784946,1.125,0.75,-3.4733137829912017,-2.9677419354838714,0.0,0.0,0.0,0.0,11.549593505859374
000000.6,0.0703125,0.090576171875,3.875,4.625,4.0,4.25,0.86177908113392,2.0435483870967746,2.017008797653959,1.9278592375366568,2.375,4.5,4.25,4.125,0.0,-1.4709677419354839,-1.4580645161290322,-1.4774193548387096,3.125,4.25,-3.097947214076246,-3.4017595307917894,0.0,0.0,0.0,0.0,12.2595126953125
00000.65,0.113037109375,0.112060546875,2.5,2.0,1.875,1.75,-2.8121212121212125,-1.5580645161290323,-1.5378299120234604,-1.6269794721407627,2.125,1.625,1.625,1.625,2.6978494623655913,3.0422287390029323,3.015542521994135,3.055571847507331,2.25,4.625,-2.206451612903226,-2.608015640273705,0.0,0.0,0.0,0.0,11.662677978515624
000000.7,0.1142578125,0.107421875,5.375,3.125,2.75,2.5,-3.243010752688172,-3.229032258064516,-3.1870967741935483,-3.1870967741935483,5.0,3.5,3.25,3.25,2.6978494623655913,3.1870967741935483,3.1591397849462366,3.201075268817204,1.125,2.875,-1.09208211143695,-1.5194525904203324,0.0,0.0,0.0,0.0,11.12866796875
00000.75,0.08935546875,0.080322265625,6.625,6.375,5.125,5.5,-3.243010752688172,-3.229032258064516,-3.117204301075269,-3.075268817204301,7.875,8.5,8.625,8.125,2.6419354838709674,3.1311827956989244,3.0612903225806445,3.047311827956989,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,11.292012207031249
000000.8,-0.00927734375,-0.008056640625,7.25,7.0,6.125,6.125,-3.1311827956989244,-3.1451612903225805,-3.117204301075269,-3.075268817204301,8.5,9.25,9.625,9.0,2.6419354838709674,3.1311827956989244,3.0612903225806445,3.047311827956989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.260599853515625
00000.85,-0.067138671875,-0.045654296875,6.75,7.25,6.125,6.375,-1.7188660801564026,-2.6173020527859236,-2.5940371456500486,-2.5591397849462365,5.25,6.75,7.0,6.625,0.0,2.956011730205278,2.890029325513196,2.87683284457478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.152710693359374
000000.9,-0.06591796875,-0.05908203125,2.125,3.25,2.5,2.625,0.4488758553274682,0.4508797653958944,0.0,0.0,2.125,3.0,3.125,3.0,-1.5519061583577711,-1.3685239491691104,-1.3379765395894427,-1.3318670576735094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.184123046875
00000.95,-0.061279296875,-0.085693359375,1.875,1.0,1.0,0.875,1.9715542521994136,1.7333333333333332,1.7263440860215051,1.7193548387096773,4.0,4.875,4.5,4.5,-0.5961876832844575,-2.9333333333333336,-2.8978494623655915,-2.909677419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.882564453125
000001.0,-0.058837890625,-0.06103515625,3.875,2.875,2.625,2.75,2.3366568914956014,2.254545454545455,2.2454545454545456,2.2363636363636368,1.875,4.25,4.125,4.0,-1.621212121212121,-1.6242424242424243,-1.604594330400782,-1.6111436950146627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.675242919921875
00001.05,-0.040771484375,0.01318359375,4.75,4.125,3.875,4.0,2.6895894428152496,2.2666666666666666,2.25752688172043,2.2483870967741937,4.25,3.25,3.0,3.25,-3.6712609970674484,-3.561436950146628,-3.5143695014662755,-3.577126099706745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.185210205078125
000001.1,-0.00634765625,0.034912109375,5.5,4.375,3.875,4.0,2.5853372434017596,2.63069403714565,2.6193548387096777,2.5853372434017596,7.75,10.0,9.875,9.375,-3.18049853372434,-3.3839198435972637,-3.3391984359726297,-3.309677419354839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.53074609375
00001.15,0.02392578125,0.012939453125,5.625,3.875,3.625,3.625,2.485043988269795,2.9255131964809387,2.912903225806452,2.7859237536656893,6.125,8.125,8.0,7.75,-2.6358260019550337,-3.2951612903225813,-3.2406647116324536,-3.2093841642228735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76947998046875
000001.2,0.0400390625,0.05517578125,4.25,2.75,2.625,2.5,1.7049853372434018,2.880156402737048,2.8677419354838714,2.8304985337243402,2.5,5.25,5.25,5.25,-1.9063538611925708,-2.418670576735093,-2.3867057673509287,-2.4293255131964813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.121298339843749
00001.25,0.067626953125,0.124267578125,3.0,2.625,2.375,2.5,2.574193548387097,2.6366568914956012,2.7322580645161287,2.7322580645161287,0.0,1.25,1.125,1.25,-0.43924731182795695,-1.4430107526881721,-1.4310850439882699,-1.4430107526881721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.316054931640625
000001.3,0.128662109375,0.156494140625,2.0,1.375,1.375,1.25,2.610459433040078,1.8765395894428154,1.856989247311828,1.975268817204301,0.0,0.0,0.0,0.125,-1.522043010752688,-1.6913978494623654,-1.6774193548387095,-1.6913978494623654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2595126953125
00001.35,0.156494140625,0.153076171875,1.75,1.125,1.25,0.875,1.4130009775171064,1.5914956011730206,1.7623655913978495,1.4903225806451612,0.0,0.0,0.125,0.25,-2.175806451612903,-2.5193548387096776,-2.498533724340176,-2.5193548387096776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.190405517578125
000001.4,0.156494140625,0.141357421875,2.25,1.375,1.5,1.125,2.849951124144672,2.86158357771261,2.849951124144672,2.838318670576735,0.125,1.25,1.125,1.375,-3.0216520039100687,-3.259530791788856,-3.193548387096774,-3.2331378299120233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.115015869140624
00001.45,0.15478515625,0.137939453125,2.25,1.5,1.5,1.25,3.0774682306940373,3.0900293255131968,3.0774682306940373,3.0649071358748783,0.875,2.625,2.5,2.5,-3.1763440860215058,-3.488905180840665,-3.4182795698924733,-3.4606549364613883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.99564892578125
000001.5,0.161865234375,0.154052734375,2.25,2.125,2.375,2.0,1.6524926686217007,3.198240469208211,3.1852394916911044,3.0768328445747803,2.125,3.75,3.625,3.5,-3.4857282502443794,-4.128739002932551,-4.04516129032258,-4.0953079178885625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.73178515625
00001.55,0.182373046875,0.187255859375,3.125,2.625,2.625,2.25,3.8917399804496577,3.047702834799609,3.0348973607038126,2.9173998044965788,3.25,6.375,6.125,6.375,-3.9468230694037145,-4.540762463343109,-4.464125122189638,-4.502443792766373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.574723388671874
000001.6,0.190185546875,0.202392578125,4.0,3.625,3.5,3.125,3.837781036168133,3.9201368523949167,3.9036656891495602,3.8707233626588464,3.625,7.375,7.25,7.125,-1.6572825024437927,-4.552346041055719,-4.4755131964809385,-4.043010752688172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.788327392578125
00001.65,0.202880859375,0.22265625,3.875,4.25,4.0,3.75,3.9858260019550342,4.0713587487781036,4.05425219941349,4.0200391006842615,3.25,5.875,5.5,5.625,-3.563636363636364,-3.5329912023460417,-3.47336265884653,-3.686950146627566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.631265625
000001.7,0.22265625,0.26318359375,3.75,4.5,4.125,3.875,4.099706744868036,4.2691104594330405,4.25117302052786,4.215298142717498,2.375,4.375,4.0,4.125,-3.98514173998045,-4.818768328445748,-4.7374389051808405,-4.7781036168132935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.687807861328125
00001.75,0.2587890625,0.276611328125,4.125,3.875,3.625,3.375,4.360117302052786,4.399071358748778,4.399071358748778,4.342913000977518,3.25,6.125,5.875,5.75,-4.564027370478984,-5.2834799608993155,-5.171065493646139,-5.238514173998045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.480486328125
000001.8,0.2822265625,0.2783203125,4.375,4.5,4.125,3.875,4.590811339198436,4.640273704789833,4.640273704789833,4.581036168132942,3.375,8.0,7.625,7.375,-2.2324046920821115,-5.191593352883675,-5.081133919843597,-5.136021505376344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.587288330078124
00001.85,0.289794921875,0.2998046875,4.375,5.125,4.625,4.25,4.798435972629521,4.686217008797653,4.7781036168132935,4.7171065493646145,4.25,6.875,6.375,6.0,-4.702932551319648,-5.444281524926686,-5.328445747800586,-5.397947214076246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.675242919921875
000001.9,0.303466796875,0.324951171875,3.375,4.5,3.875,3.75,4.936852394916912,3.9233626588465302,3.9064516129032256,3.79960899315738,3.375,6.875,6.625,5.75,-5.0450635386119265,-5.464516129032258,-5.369892473118281,-5.566129032258065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.51818115234375
00001.95,0.323974609375,0.34521484375,4.375,4.375,4.0,3.75,5.068621700879766,4.875855327468232,4.85483870967742,4.833822091886608,3.125,7.0,7.25,5.875,-5.410361681329424,-4.85483870967742,-4.770772238514175,-4.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.411379150390625
000002.0,0.340087890625,0.356201171875,4.375,5.375,4.75,4.5,5.023264907135876,5.102639296187684,5.080645161290323,5.058651026392962,3.25,7.75,8.125,5.875,-5.4004887585532755,-5.25,-5.147996089931574,-5.238709677419355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.41766162109375
00002.05,0.358642578125,0.369873046875,4.375,5.625,4.875,5.125,2.188465298142718,5.238514173998045,4.398680351906158,4.290322580645161,2.875,7.5,7.625,6.75,-4.763929618768328,-5.418377321603129,-5.257869012707722,-5.304398826979472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.574723388671874
000002.1,0.377197265625,0.382568359375,4.875,5.5,4.875,4.75,5.558357771260997,5.5982404692082115,5.573900293255131,5.549560117302053,2.25,6.5,5.875,5.125,-4.411045943304008,-4.788856304985337,-4.705571847507332,-4.658064516129032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.826022216796874
00002.15,0.384033203125,0.393310546875,5.125,5.375,4.75,4.5,5.421114369501466,5.328445747800586,5.305278592375366,5.282111436950147,0.875,4.375,4.0,3.625,-4.253176930596285,-5.024926686217009,-4.937536656891496,-4.981231671554252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.775762451171875
000002.2,0.39892578125,0.39794921875,4.75,4.875,4.5,4.25,5.466862170087976,5.490224828934506,5.490224828934506,5.466862170087976,0.0,3.25,2.75,2.5,-0.5757575757575758,-4.4668621700879765,-4.380351906158357,-4.417790811339199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.165275634765624
00002.25,0.416748046875,0.400634765625,4.0,2.375,2.125,1.75,5.169501466275659,3.721407624633431,3.4457478005865103,3.6941348973607036,0.0,0.75,0.625,0.75,-3.2994623655913977,-3.245454545454545,-2.996480938416422,-3.621896383186706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.190405517578125
000002.3,0.431396484375,0.397216796875,4.0,0.625,0.25,0.625,5.508308895405669,4.284213098729228,3.641006842619746,4.254545454545454,0.0,0.0,0.125,0.25,-2.9317204301075264,-3.233822091886608,-3.1909090909090905,-3.2181818181818183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.165275634765624
00002.35,0.4248046875,0.39306640625,3.25,3.0,1.25,2.0,1.7003910068426196,4.857624633431085,4.83763440860215,4.7234115347018575,0.0,0.0,0.0,0.125,-2.8806451612903223,-2.502688172043011,-2.4853861192570874,-2.4089931573802543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.13386328125
000002.4,0.42138671875,0.376708984375,2.875,2.625,2.125,1.875,5.352639296187683,4.881378299120234,4.754838709677419,4.735190615835777,0.0,0.0,0.0,0.0,-3.3001466275659825,-3.9995112414467253,-3.922434017595308,-3.971260997067449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.13386328125
00002.45,0.420166015625,0.35693359375,2.75,3.0,2.5,2.375,5.304740957966764,5.261436950146628,5.239784946236559,5.218132942326491,0.0,0.125,0.125,0.25,-0.895307917888563,-4.23900293255132,-4.169794721407625,-3.3630498533724342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.102450927734374
000002.5,0.4091796875,0.34814453125,2.5,3.5,3.125,2.875,1.7482893450635388,4.976392961876833,4.849462365591397,4.829423264907136,0.0,0.75,0.625,0.75,-1.6136363636363638,-4.837732160312806,-4.6878787878787875,-4.746969696969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.863717041015624
00002.55,0.4013671875,0.345703125,3.5,3.375,3.0,3.125,2.11950146627566,5.145161290322581,4.997067448680352,4.976246334310851,0.0,1.5,1.125,1.5,-1.7876344086021503,-4.381818181818182,-4.2691104594330405,-4.746969696969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.989366455078125
000002.6,0.40087890625,0.342529296875,3.625,3.625,3.125,3.125,5.407624633431085,5.653763440860215,5.607038123167155,5.583675464320625,0.875,1.75,1.75,3.0,-5.352688172043011,-5.736412512218965,-5.665004887585533,-6.06622678396872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.851152099609374
00002.65,0.399658203125,0.346923828125,3.375,3.25,3.0,3.0,5.454545454545454,5.67741935483871,5.454545454545454,5.431818181818182,3.875,7.0,7.0,6.25,-2.686559139784946,-6.463831867057673,-6.351417399804497,-6.407624633431085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.712937744140625
000002.7,0.405029296875,0.3671875,3.0,3.125,2.375,2.5,5.478005865102639,4.807820136852396,4.888709677419356,4.846383186705768,3.0,9.0,9.25,8.5,-5.563440860215053,-6.194037145650048,-6.0863147605083086,-6.140175953079178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.449073974609375
00002.75,0.406005859375,0.40625,3.0,3.25,2.5,2.625,1.8220918866080158,4.830498533724341,4.911290322580646,4.868768328445747,3.125,8.75,8.125,7.875,-5.417546432062561,-6.452590420332355,-6.008993157380254,-6.06217008797654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.681525390625
